Si_conc,replicate,growth_rate,min,q1,median,mean,q3,max,sd,iqr,n,se,CI_lower,CI_upper
0.01,rep1,0.0327,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.01,rep2,0.0721,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.01,rep3,0.0871,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.01,rep4,0.0961,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.05,rep1,0.3255,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep2,0.2338,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep3,0.2612,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep4,0.1837,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep5,0.173,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep6,0.1546,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep7,0.1774,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep8,0.1344,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep9,0.1253,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.1,rep1,0.2354,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep2,0.2148,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep3,0.1905,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep4,0.1931,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep5,0.2166,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep6,0.263,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.25,rep1,0.1804,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
0.25,rep2,0.1951,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
0.25,rep3,0.2139,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
0.25,rep4,0.1683,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
0.25,rep5,0.1561,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
0.25,rep6,0.2048,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
0.5,rep1,0.2289,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep2,0.2364,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep3,0.2164,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep4,0.4398,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep5,0.5104,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep6,0.481,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep7,0.1665,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep8,0.17,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep9,0.1415,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep10,0.2086,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep11,0.2324,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
0.5,rep12,0.1914,0.1415,0.18605,0.22265,0.268608333333333,0.28725,0.5104,0.12982480123286,0.1012,12,0.0374771919696406,0.186121589966249,0.351095076700418
1,rep1,0.3816,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep2,0.3898,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep3,0.3404,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep4,0.416,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep5,0.389,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep6,0.3891,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep7,0.4764,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep8,0.3952,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep9,0.4642,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
1,rep10,0.3636,0.3404,0.38345,0.38945,0.40053,0.4108,0.4764,0.0418918727201351,0.02735,10,0.01324737332455,0.370562359545607,0.430497640454393
2,rep1,0.414,0.37,0.409725,0.483,0.505033333333333,0.610725,0.6556,0.123649774228127,0.201,6,0.0504798089448753,0.375270853393245,0.634795813273421
2,rep2,0.4083,0.37,0.409725,0.483,0.505033333333333,0.610725,0.6556,0.123649774228127,0.201,6,0.0504798089448753,0.375270853393245,0.634795813273421
2,rep3,0.37,0.37,0.409725,0.483,0.505033333333333,0.610725,0.6556,0.123649774228127,0.201,6,0.0504798089448753,0.375270853393245,0.634795813273421
2,rep4,0.6556,0.37,0.409725,0.483,0.505033333333333,0.610725,0.6556,0.123649774228127,0.201,6,0.0504798089448753,0.375270853393245,0.634795813273421
2,rep5,0.6303,0.37,0.409725,0.483,0.505033333333333,0.610725,0.6556,0.123649774228127,0.201,6,0.0504798089448753,0.375270853393245,0.634795813273421
2,rep6,0.552,0.37,0.409725,0.483,0.505033333333333,0.610725,0.6556,0.123649774228127,0.201,6,0.0504798089448753,0.375270853393245,0.634795813273421
2.5,rep1,0.4396,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep2,0.5071,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep3,0.4252,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep4,0.4537,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep5,0.4429,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep6,0.4055,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep7,0.5555,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep8,0.6078,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
2.5,rep9,0.6428,0.4055,0.4396,0.4537,0.497788888888889,0.5555,0.6428,0.0856423441476885,0.1159,9,0.0285474480492295,0.43195835563784,0.563619422139938
3,rep1,0.3676,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep2,0.3525,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep3,0.3251,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep4,0.4734,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep5,0.4969,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep6,0.4309,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep7,0.7694,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep8,0.6644,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
3,rep9,0.7451,0.3251,0.3676,0.4734,0.513922222222222,0.6644,0.7694,0.170770780417624,0.2968,9,0.0569235934725414,0.382656180283861,0.645188264160584
4,rep1,0.6552,0.5656,0.6104,0.6552,0.637066666666667,0.6728,0.6904,0.0643457328292509,0.0624,3,0.0371500261701717,0.477223005155313,0.79691032817802
4,rep2,0.6904,0.5656,0.6104,0.6552,0.637066666666667,0.6728,0.6904,0.0643457328292509,0.0624,3,0.0371500261701717,0.477223005155313,0.79691032817802
4,rep3,0.5656,0.5656,0.6104,0.6552,0.637066666666667,0.6728,0.6904,0.0643457328292509,0.0624,3,0.0371500261701717,0.477223005155313,0.79691032817802
5,rep1,0.3313,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep2,0.2931,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep3,0.3009,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep4,0.3708,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep5,0.6521,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep6,0.6392,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep7,0.6201,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep8,0.579,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep9,0.5547,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
5,rep10,0.5513,0.2931,0.341175,0.553,0.48925,0.609825,0.6521,0.147288441501701,0.26865,10,0.0465766948161846,0.383886196202102,0.594613803797898
10,rep1,0.3519,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep2,0.4097,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep3,0.4114,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep4,0.5,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep5,0.4961,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep6,0.609,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep7,0.5914,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
10,rep8,0.5981,0.3519,0.410975,0.49805,0.49595,0.593075,0.609,0.0983290539827515,0.1821,8,0.0347645704294308,0.413744853666362,0.578155146333638
50,rep1,0.6242,0.5684,0.592775,0.62345,0.612366666666667,0.62645,0.6489,0.0303604128210844,0.0336749999999999,6,0.0123945866319849,0.580505367410266,0.644227965923068
50,rep2,0.6272,0.5684,0.592775,0.62345,0.612366666666667,0.62645,0.6489,0.0303604128210844,0.0336749999999999,6,0.0123945866319849,0.580505367410266,0.644227965923068
50,rep3,0.6489,0.5684,0.592775,0.62345,0.612366666666667,0.62645,0.6489,0.0303604128210844,0.0336749999999999,6,0.0123945866319849,0.580505367410266,0.644227965923068
50,rep4,0.6227,0.5684,0.592775,0.62345,0.612366666666667,0.62645,0.6489,0.0303604128210844,0.0336749999999999,6,0.0123945866319849,0.580505367410266,0.644227965923068
50,rep5,0.5828,0.5684,0.592775,0.62345,0.612366666666667,0.62645,0.6489,0.0303604128210844,0.0336749999999999,6,0.0123945866319849,0.580505367410266,0.644227965923068
50,rep6,0.5684,0.5684,0.592775,0.62345,0.612366666666667,0.62645,0.6489,0.0303604128210844,0.0336749999999999,6,0.0123945866319849,0.580505367410266,0.644227965923068
100,rep1,0.4397,0.4329,0.4405,0.4919,0.50875,0.55605,0.635,0.0831511334859604,0.11555,6,0.0339463080957758,0.421488237022085,0.596011762977915
100,rep2,0.4429,0.4329,0.4405,0.4919,0.50875,0.55605,0.635,0.0831511334859604,0.11555,6,0.0339463080957758,0.421488237022085,0.596011762977915
100,rep3,0.4329,0.4329,0.4405,0.4919,0.50875,0.55605,0.635,0.0831511334859604,0.11555,6,0.0339463080957758,0.421488237022085,0.596011762977915
100,rep4,0.5409,0.4329,0.4405,0.4919,0.50875,0.55605,0.635,0.0831511334859604,0.11555,6,0.0339463080957758,0.421488237022085,0.596011762977915
100,rep5,0.635,0.4329,0.4405,0.4919,0.50875,0.55605,0.635,0.0831511334859604,0.11555,6,0.0339463080957758,0.421488237022085,0.596011762977915
100,rep6,0.5611,0.4329,0.4405,0.4919,0.50875,0.55605,0.635,0.0831511334859604,0.11555,6,0.0339463080957758,0.421488237022085,0.596011762977915
